2022-02-28 23:19:05,233 INFO      ----------configuration**********
2022-02-28 23:19:05,247 INFO      ('dataset', 'my_data')
2022-02-28 23:19:05,247 INFO      ('train_path', 'G:\\vscode_workspace\\Weather_Recognition\\data_split_v6\\train\\')
2022-02-28 23:19:05,247 INFO      ('test_path', 'G:\\vscode_workspace\\Weather_Recognition\\data_split_v6\\test\\')
2022-02-28 23:19:05,247 INFO      ('imagesize', '224')
2022-02-28 23:19:05,247 INFO      ('pretrained_path', 'G:\\vscode_workspace\\Weather_Recognition\\checkpoints\\mwd_resnet18\\04_14_14_25_fold_0_model_best.pth.tar')
2022-02-28 23:19:05,247 INFO      ('epochs', '20')
2022-02-28 23:19:05,247 INFO      ('start_epoch', '0')
2022-02-28 23:19:05,248 INFO      ('train_batch', '16')
2022-02-28 23:19:05,249 INFO      ('test_batch', '4')
2022-02-28 23:19:05,249 INFO      ('lr', '0.001')
2022-02-28 23:19:05,249 INFO      ('drop', '0')
2022-02-28 23:19:05,249 INFO      ('schedule', '[5, 10, 15, 20, 25, 30, 35, 40, 45]')
2022-02-28 23:19:05,249 INFO      ('gamma', '0.9')
2022-02-28 23:19:05,249 INFO      ('momentum', '0.8')
2022-02-28 23:19:05,249 INFO      ('weight_decay', '0.0001')
2022-02-28 23:19:05,249 INFO      ('gap', '0.2')
2022-02-28 23:19:05,249 INFO      ('checkpoint', 'checkpoints/my_data_v6_resnet18_transfer_480_focal_loss')
2022-02-28 23:19:05,250 INFO      ('resume', '')
2022-02-28 23:19:05,250 INFO      ('arch', 'resnet18')
2022-02-28 23:19:05,250 INFO      ('manualSeed', '5067')
2022-02-28 23:58:20,228 INFO      epoch: 1, train_acc: 97.23, test_acc: 80.55
2022-03-01 00:24:37,226 INFO      epoch: 2, train_acc: 99.88, test_acc: 80.89
2022-03-01 00:50:13,947 INFO      epoch: 3, train_acc: 99.93, test_acc: 81.48
2022-03-01 01:15:47,885 INFO      epoch: 4, train_acc: 99.96, test_acc: 81.05
2022-03-01 01:41:08,134 INFO      epoch: 5, train_acc: 99.98, test_acc: 81.24
2022-03-01 02:06:38,449 INFO      epoch: 6, train_acc: 99.98, test_acc: 80.42
2022-03-01 02:32:26,282 INFO      epoch: 7, train_acc: 99.99, test_acc: 78.42
2022-03-01 02:58:52,018 INFO      epoch: 8, train_acc: 99.98, test_acc: 79.30
2022-03-01 03:25:34,681 INFO      epoch: 9, train_acc: 99.99, test_acc: 80.75
2022-03-01 03:51:20,479 INFO      epoch: 10, train_acc: 99.99, test_acc: 80.06
2022-03-01 04:17:43,636 INFO      epoch: 11, train_acc: 99.99, test_acc: 80.52
2022-03-01 04:44:12,178 INFO      epoch: 12, train_acc: 99.99, test_acc: 80.80
2022-03-01 05:10:46,084 INFO      epoch: 13, train_acc: 99.99, test_acc: 81.42
2022-03-01 05:36:14,402 INFO      epoch: 14, train_acc: 99.99, test_acc: 80.43
2022-03-01 06:02:30,629 INFO      epoch: 15, train_acc: 99.99, test_acc: 78.56
2022-03-01 06:28:56,181 INFO      epoch: 16, train_acc: 99.99, test_acc: 80.96
2022-03-01 06:55:31,063 INFO      epoch: 17, train_acc: 99.99, test_acc: 80.91
2022-03-01 07:20:56,047 INFO      epoch: 18, train_acc: 99.99, test_acc: 80.16
2022-03-01 07:47:19,779 INFO      epoch: 19, train_acc: 99.98, test_acc: 80.51
2022-03-01 08:13:55,773 INFO      epoch: 20, train_acc: 99.98, test_acc: 79.39
2022-03-01 08:13:55,773 INFO      best_acc: 81.48
